text,label
"got the white stuff 2g for ₹5k, dm asap",drug
party pills available tonight,drug
wanna buy some ganja? hit me up,drug
mdma drop near station at 9,drug
d r u g delivery available now,drug
w33d stash in the glovebox,drug
need 500mg of ice? message me,drug
"got charas and pills, cheap rates",drug
"420 available, meet near mall",drug
"we got the ganja, come quick",drug
"sale on cocaine, limited stock",drug
white stuff drops tonight,drug
"buy pills cheap, limited 2g",drug
md ma mix packs for sale,drug
ganja? yes we got it,drug
drop off the goods at park,drug
"i got the meth, u want some?",drug
"heroin available, good quality",drug
ice delivery at the spot,drug
2 grams of weed for 3k,drug
"party mix, ls d included",drug
black tar heroin DM me,drug
"cheap pills 500mg, hurry",drug
white powder 2g deal,drug
need ganja buds? contact me,drug
"got that brown sugar, 1g?",drug
wanna meet for a quick deal?,drug
cocaine on special promo,drug
hashish: ₹2k per gram,drug
ganja drop at city center,drug
quick fix: m o l l y available,drug
discount on mdma packs,drug
we deliver l.s.d. fast,drug
cheap ice in small qty,drug
got that 420 heavy,drug
heroin drops tonight,drug
"rare pills available, dm",drug
bulk ganja deal available,drug
hash drop near cafe,drug
white stuff specs 🔥,drug
mdma stash open now,drug
"2g of charas, good price",drug
"buy 1g weed, currently 2g offer",drug
ganja mix bags live,drug
ice 500 mg for sale,drug
best l s d prices here,drug
cocaine lines available,drug
"cheap ganja 2g, msg me",drug
urgent mdma drop,drug
"hello, how are u doing?",normal
did u watch the match yesterday?,normal
good morning! coffee later?,normal
what's up? wanna grab lunch?,normal
happy birthday! enjoy ur day,normal
have u finished the assignment?,normal
let's catch up this weekend,normal
sunday brunch plans?,normal
"just chilling at home, u?",normal
how was your day?,normal
ready for the presentation?,normal
doggos are so cute!,normal
any movie recommendations?,normal
i'm feeling great today!,normal
u saw that meme? so funny,normal
work meeting delayed to 3,normal
pizza night tonight?,normal
new song dropping tomorrow,normal
i love this weather,normal
Need help studying math,normal
planning road trip this weekend,normal
"made the drop low key, only for real buyers",drug
need that xx pill package for tonight,drug
we got m.o.l.l.y in bulk packs,drug
rmbr to d lwg wit pickup only,drug
hit the usual spot for ganja at 10,drug
"_masked hash still heat, msg quick",drug
deal on charas + white stuff combo,drug
u want lsd tabs? come to where we met,drug
2g heroin for quick turnover,drug
ice 250mg at safe location,drug
call when u pay for the stuff,drug
ganja brownies drop tomorrow,drug
u in for mdma? meet me later,drug
cheap pills: $50 for 5x  → dstribution,drug
we got unmarked pills for curious buyers,drug
coke powder lines ready for order,drug
ganja oil deals flammable responders,drug
"hash melts, msg to confirm",drug
bulk order specials on white powder,drug
we got good lsd sound-alikes,drug
"limited stock of w33d buds, hit fast",drug
miss u! wanna hang out?,normal
are we still on for dinner tomorrow?,normal
let’s watch that new show tonight,normal
i just baked cookies :),normal
did u enjoy your vacation?,normal
i got a new puppy!,normal
can u send the slides? thanks,normal
finished reading that book u suggested,normal
Let’s catch up over coffee this weekend,normal
yo got that white stuff? need 2g asap,drug
"drop near station at 8, bring 5k cash",drug
bro u want some ganja 🌿🔥?,drug
"plug said mdma tabs ready, 10 for ₹3k",drug
"pills r in stock, 500mg caps 💊 hit me",drug
"yo w33d stash secured, u in?",drug
got coke lines pure fishscale 🐟,drug
u free to pickup chronic zip?,drug
"bro d r u g drop behind mall, 9pm sharp",drug
"2 blunts for 500, deal only today",drug
yo need hash oil carts?,drug
"meet park bench, i got xanax",drug
drop ₹10k nd get pure snow,drug
420 sesh tonight 🚬🌿,drug
rock n pills combo pack 🔥,drug
yo need 2 dimes of loud?,drug
"stash hidden, msg when close",drug
"bring 1k cash, get md",drug
plug got crack rocks,drug
bro u got benzos? need quick,drug
yo wanna roll mdma rave night,drug
pick up 2 quarters loud,drug
"gram of coke for 3k, u down?",drug
"blow ready, clean cut",drug
drop alley near cinema,drug
"stash secure, call when near",drug
perc 30s in stock 💊💊,drug
yo mule got stuff ready,drug
big stash of ganja incoming,drug
get acid tabs cheap,drug
"new pills landed, safe batch",drug
drop box by station,drug
yo coke plug online rn,drug
grab 5g kush loud,drug
white lines pure 100%,drug
yo candy (mdma) sweet deal,drug
weed brownies 🍫 4 sale,drug
drop address i send stash,drug
yo 420 meetup park,drug
stash w33d bags hidden,drug
gimme 3g coke for party,drug
yo smoke chronic loud,drug
bring cash 7k for stash,drug
yo md caps pressed nice,drug
drop car parking lot,drug
pill plug near u rn,drug
yo ganja zip fresh,drug
dr0p snow tonight,drug
yo fiend need hit,drug
stash coke rocks,drug
hey how are you doing today?,normal
let’s catch up at the café tomorrow,normal
"bro game night at my place, u coming?",normal
happy birthday 🎉 hope u have a great day,normal
yo did u finish the project report?,normal
can u pls send me those notes,normal
"watching the match rn, crazy game",normal
what time is the movie?,normal
let’s grab pizza later 🍕,normal
good luck for ur exam tomorrow,normal
i’ll pick u up at 7,normal
had such a fun trip with fam ❤️,normal
see u at gym tonight,normal
yo free for call later?,normal
don’t forget meeting at 5,normal
let’s go shopping this weekend,normal
what’s ur fav song rn?,normal
can u believe the rain today 🌧️,normal
bro lunch break in 10,normal
hope u feeling better now,normal
yo let’s plan a trip soon,normal
good morning ☀️ have a nice day,normal
"watching netflix rn, chill vibes",normal
"miss u bro, long time",normal
let’s play football this sunday,normal
what’s ur insta id?,normal
thanks for helping me today 🙏,normal
yo game server lagging bad,normal
pls share ur location,normal
meeting postponed to tomorrow,normal
see u in class later,normal
how’s ur family doing?,normal
bro i’m stuck in traffic,normal
yo u saw new movie trailer?,normal
let’s go for tea break,normal
hearing good songs rn 🎶,normal
pls reply asap,normal
need ur opinion on smth,normal
hope ur day’s going well,normal
yo wanna hangout later?,normal
just finished workout 💪,normal
call me when free,normal
yo what u eating rn?,normal
miss our old times,normal
happy new year 🎆,normal
see u tomorrow at class,normal
enjoy ur weekend,normal
yo free at night?,normal
thanks again bro,normal
u got that white stuff? need 2g asap,drug
"bro drop it nr station, cash ready",drug
pills lookin fire 🔥 send 5 tabs,drug
yo how much for 500mg mdma?,drug
bring 3 packets ganja tonight,drug
"hey! long time no see, how are you?",normal
got that w33d u promised?,drug
let’s meet cafe tomo at 5pm,normal
pls send me the kush menu 🙏,drug
exams over finally 😭,normal
"2 strips xanax, same rate?",drug
u free tomo for dinner?,normal
drop 5g at park bench,drug
need pure crystal fast ⚡,drug
haha that movie was hilarious 😂,normal
bro secure stuff? cops around,drug
order: 10 pills ecstasy,drug
let’s chill at ur place evening,normal
what’s ur rate for LSD blotters?,drug
assignment submission extended?,normal
"yo plug, 1 ounce w33d rn",drug
pls hide pack in brown bag,drug
man i miss school days 😅,normal
how much ₹5k can get me?,drug
"share 3 blotters, keep lowkey",drug
train got delayed again,normal
bro can i get 7g hash?,drug
drop 420 goodies in locker,drug
family coming this weekend 😊,normal
need 20mg oxy quick,drug
new netflix show is lit 🔥,normal
got line of coke ready?,drug
send location fr delivery,drug
u saw cricket match last night?,normal
bring 2g powder tonight,drug
urgent: 5 tabs adderall,drug
weather is so nice today ☀️,normal
yo stash 10g in black pouch,drug
any discounts on bulk lsd?,drug
did u eat? join me lunch,normal
packets safe? meet corner shop,drug
need weed brownie 🍫,drug
congrats on ur new job 👏,normal
bro 2 lines coke ready,drug
500mg md fast pls,drug
game night at my place 🎮,normal
wanna grab coffee tomo?,normal
send 3 pills md asap,drug
bring that hash roll,drug
u good? haven’t texted in days,normal
yo 2 ounces herb sealed,drug
white powder 1g pack,drug
movie night plans 🍿,normal
ganja smell strong 😂,drug
safe drop near station,drug
holiday trip was awesome,normal
"420 party tomo, u coming?",drug
who won the match?,normal
md crystal clear batch?,drug
u at college now?,normal
hash cake price list?,drug
"got exams tomo, stressed",normal
deliver pack under bridge,drug
rain so heavy today 🌧️,normal
yo plug need 4 tabs acid,drug
meet me gym locker,drug
let’s play fifa later ⚽,normal
how much for coke gram?,drug
pls give strong ganja leaf,drug
beach day fun 🌊,normal
bro stash hidden safe?,drug
10 blotters lsd pls,drug
office meeting got canceled,normal
buy 2 strip painkillers,drug
send me meth fast,drug
pizza or burger tonight?,normal
5000₹ for 10g? deal?,drug
new car looks dope 🚗,normal
yo line sniff ready,drug
hash 2g sealed,drug
party vibes today 🎉,normal
order 3pills molly,drug
hey call me soon,normal
safe drop bag in box,drug
stash w33d hidden,drug
u saw new phone launch?,normal
send 1g brown sugar,drug
urgent 5 strip tabs,drug
that song stuck in head 🎵,normal
yo coke pure? test?,drug
2 ounce kush fast,drug
let’s gym tomo bro 💪,normal
need high md dose,drug
safe locker drop,drug
miss u man 😢,normal
3 g hash brown,drug
2 strip xans 4u,drug
coffee break rn ☕,normal
u free call now,normal
drop 5 tab acid,drug
herb kush 10g,drug
holiday pics wow 📸,normal
need pure stuff,drug
ganja roll pls,drug
game update huge,normal
fast 1g coke,drug
2pill molly,drug
good night 🌙,normal
white stuff 3g,drug
420 blunt lit,drug
u good bro?,normal
meth pack 1g,drug
hashy cake,drug
lol 😂😂,normal
2g mdma,drug
yo plug,drug
sup?,normal
"bring 7g ganja, ₹3k",drug
coffee date tomo?,normal
crystal batch pure?,drug
exam timetable out,normal
order: 15 pills ecstasy,drug
weekend trip confirmed ✈️,normal
yo pack hidden nr park,drug
deliver 20 tabs molly,drug
family lunch tomo 🍲,normal
need kush brownies 🍫,drug
how’s ur health now?,normal
safe stash 10g hash,drug
send pure coke line,drug
meeting postponed,normal
ganja leaf strong,drug
2 strip xanax cash,drug
rainy day vibes 🌧️,normal
yo lsd tabs clean,drug
hash roll pack,drug
gym session later?,normal
meth 500mg sealed,drug
pls 2 pill md,drug
let’s catch up!,normal
420 smoke time,drug
need 5 tab addy,drug
project due tomo,normal
coke 1 ounce,drug
w33d cake,drug
lunch break 🍔,normal
drop 3 g hash,drug
yo pills?,drug
hello bro,normal
need stash,drug
